vehicle_id,model_id,location_id,engine_id,title,year,used_or_new,vehicle_type,doors,seats,colour_ext_int,kilometres,price
L2036D3655K,M9142G5868I,X3599C4577D,I4577B3513E,2016 Lexus GS350 Sport Luxury,2016,USED,Rear, 4 Doors, 5 Seats,Silver / -,86655,46990
C9903D4101J,O5385X5182T,V5394F8677W,I9679V1553U,2018 Subaru Outback 2.5I,2018,USED,AWD, 4 Doors, 5 Seats,Grey / Black,163418,21980
E2581C3223N,N5438C5888E,F6244O7990W,R8518Q8177F,2010 Hyundai IX35 Elite (awd),2010,USED,AWD, 4 Doors, 5 Seats,Burgundy / -,169373,12990
V6827N9360G,U3105K4089U,B9032B9925X,S3596F1114O,2018 Toyota Landcruiser Prado GXL (4X4),2018,USED,4WD, 4 Doors, 7 Seats,Silver / Black,127175,62970
L8603G1151S,D2201B4899J,B8575H2855Q,D5090X9783A,2021 Nissan X-Trail ST 7 Seat (2WD),2021,USED,Front, 4 Doors, 7 Seats,White / -,62208,29869
F4931L9256Q,X7476Z3051W,T5127D4893T,N1191C7712M,2014 Holden Cruze SRI Z-Series,2014,USED,Front, 4 Doors, 5 Seats,Red / Black,83500,12752
Y1529S4340P,F3531C1419G,Q2356W8410G,U2155P2813G,2018 Mazda CX-9 GT (fwd),2018,USED,Front, 4 Doors, 7 Seats,Black / Black Leather,62775,39998
N1094F3157P,U2361D6775V,W5389J2797I,I6339Z5090V,2016 Kia Sportage SLI (awd),2016,USED,AWD, 4 Doors, 5 Seats,Red / -,80150,23894
Q7132E6934V,X5803Q4895A,U3727H3892H,D7532K4910P,2011 Toyota Crown HYBRID 3.5L 5 SEATER,2011,USED,Other,,,Silver / -,67448,26950
R4293F5744U,Z3264C7548S,P2611Q2211G,W2010T1742V,2018 Holden Equinox LTZ-V (awd),2018,USED,AWD, 4 Doors, 5 Seats,Grey / -,101111,27888
K7485D8202P,F5637C8467S,O6491L1073K,T8423U9065S,2020 Toyota Hilux Workmate,2020,USED,Rear, 2 Doors, 2 Seats,White / Black,51204,27990
A2822H5905H,D1747U4631A,U9238K4177C,X4110E8719T,2021 Subaru XV 2.0i Lineartronic AWD,2021,USED,Other,,,Blue / -,56108,30490
W3715D5804Z,N3771Y4401E,X7256X3172K,W9143E9812A,2010 Mercedes-Benz Vito 111CDI Extra Long Crew CAB,2010,USED,Rear, 4 Doors, 5 Seats,White / -,223225,14990
B8103L2376P,T9446S3198V,O4409N3684A,V8792O3406M,2019 Toyota Landcruiser Prado GXL (4X4),2019,USED,4WD, 4 Doors, 7 Seats,Silver / Black,93742,65900
F2531X8171Z,D4053A2042S,I1256E5842D,Z6317L7018E,2016 Hyundai Iload,2016,USED,Rear, 4 Doors, 3 Seats,White / -,157310,26990
B2036Z9782B,X1160O6955L,U4586M6558O,R6295O2908T,2011 BMW X3 Xdrive 20D,2011,USED,4WD, 4 Doors, 5 Seats,Black / -,184556,19990
P1120D9314G,S1070K5243G,N7405X5128L,B1091E7345E,2016 Lexus IS200T F Sport,2016,USED,Rear, 4 Doors, 5 Seats,Silver / -,68031,33990
F9958Z5303S,P6986U4735B,K2695G3353L,X3669A7261D,2021 LDV G10+ Barn Door,2021,USED,Rear, 4 Doors, 2 Seats,White / -,13906,32980
V7493W6885Q,L8938Y5622T,X8988T1703X,U1519U7467P,2019 Ford Ranger Raptor 2.0 (4X4),2019,USED,4WD, 4 Doors, 5 Seats,Black / -,79145,67990
W9701X2665U,O3745G7133Z,Z3998Q3339X,D1336Y1285K,2011 Holden Commodore SV6,2011,USED,Rear, 4 Doors, 5 Seats,Silver / -,178173,12990
W6528B5900D,A8142Z4065Z,O1051K7135G,E7928Q6320F,2021 Hyundai Kona Elite Electric EXT Range,2021,USED,Front, 4 Doors, 5 Seats,Blue / Black,26582,53821
O6400D9038S,T5380F8066Y,C9300G1746L,I9930S7020Z,2007 Nissan Patrol ST (4X4),2007,USED,4WD, 4 Doors, 7 Seats,White / Black,350000,25987
E9567Q4444E,H2360M2808T,W7759E7483R,Q7470A3128M,2015 Hyundai I30 Active X,2015,USED,Front, 5 Doors, 5 Seats,Black / Black,170381,11950
Z1131D2659G,T2346I7644I,N3808E3319Y,A4099X6909U,2005 Toyota RAV4 CV (4X4),2005,USED,4WD, 4 Doors, 5 Seats,- / -,253000,8999
E2763V8941W,M2801Y1365O,C6360V8432B,C6545S7762K,2021 Lexus ES250 F Sport,2021,USED,Front, 4 Doors, 5 Seats,Silver / F Sport Black/Hadori Aluminium,18033,72990
D6027M7682K,C2855H2825L,C3041V2868K,Q5056J8876X,2007 Nissan Elgrand E51 HIGHWAYSTAR 3.5L 6 SEATER,2007,USED,Other,,,Silver / -,93373,18950
D9680S3852W,N2124B4395Z,E5075U4402G,F3062N4733O,2015 Citroen Berlingo 1.6 HDI ETG Long,2015,USED,Front, 2 Doors, 2 Seats,- / -,202425,10990
M9989C4878M,Z7318Q5396H,C2459F6711T,X3500R3339O,2015 Honda Odyssey VTI-L,2015,USED,Front, 4 Doors, 7 Seats,Grey / -,75219,28886
P7049C2123Q,Y6023B6702H,K3611K9582V,Y7106V9951X,2015 Lexus NX200T Luxury (fwd),2015,USED,Front, 4 Doors, 5 Seats,Grey / Black Leather,142080,29998
C5972G4732B,E3416T7700W,P9845O5367F,Z9323E5238G,2007 Holden Calais,2007,USED,Rear, 4 Doors, 5 Seats,Black / -,162285,10490
Q2379E9078Z,V3996K4863Z,F5518F6834G,O8544G1195D,2020 Toyota RAV4 GX (awd) Hybrid,2020,USED,AWD, 5 Doors, 5 Seats,White / -,28620,50990
C9290X4657J,R6718P4455A,G1784A6256M,Y9046O2457L,2021 Jeep Compass Launch Edition,2021,USED,Front, 4 Doors, 5 Seats,White / Black,32285,37990
Y1964P6334G,W7350K5643H,Q3579T5417C,T4784W2381Q,2020 Subaru Outback 2.5I Premium AWD,2020,USED,AWD, 4 Doors, 5 Seats,Red / Black,58422,38950
P1683B6335S,Q2864P9033F,W4267V2173N,Y4878E7127M,2016 Nissan 370Z,2016,USED,Rear, 2 Doors, 2 Seats,Yellow / Black,42651,46990
K6423L5228P,S8924Q3852N,A3132L6249V,T6567J9019P,2017 Ford Ranger Wildtrak 3.2 (4X4),2017,USED,4WD, 4 Doors, 5 Seats,Black / Black,99884,46990
V4878Y5023L,K1368X3085T,R5966Y9046F,I2238U7107F,2021 Toyota Camry Ascent Hybrid,2021,USED,Front, 4 Doors, 5 Seats,White / Grey,45943,41990
Z2153S5470L,R1697Y3141E,R5466L9505A,L5023T8638J,2017 Mitsubishi Triton GLS (4X4),2017,USED,4WD, 4 Doors, 5 Seats,Blue / -,195312,32990
A3390D6058T,V3912R7866C,O2512H2713F,F8251H5172C,2019 Hyundai Santa FE Highlander,2019,USED,Other,,,Brown / Black,65854,46990
