location_id,location_name
Z9295G1651P,"Haberfield, NSW"
P3598A4319M,"Liverpool, NSW"
Z2868K9874N,"Glebe, NSW"
D2558T2353B,"Granville, NSW"
U8937R3120B,"Minchinbury, NSW"
X5593Z2473L,"East Maitland, NSW"
A7303U9629E,"Kirrawee, NSW"
T2258L3284X,"Warwick Farm, NSW"
U5660K6154R,"Minto, NSW"
V2519O1355W,"Caringbah, NSW"
I2788Q5198A,"Adamstown, NSW"
J8698F3067H,"Minchinbury, NSW"
N6017F1915D,"Brookvale, NSW"
P3094A7116P,"Bankstown, NSW"
S2188L5060Z,"Liverpool, NSW"
Y4223G4882X,"Elderslie, NSW"
I8513G1393D,"Cardiff, NSW"
L4329S9410R,"Arncliffe, NSW"
C3461A7769I,"Seven Hills, NSW"
T9144M2232I,"Castle Hill, NSW"
B2442R2465T,"Minchinbury, NSW"
C2545Z6544U,"Singleton, NSW"
R3619U3179V,"Leichhardt, NSW"
M2225U5233B,"Rozelle, NSW"
A5273I5397D,"Arncliffe, NSW"
N5400O8165J,"Windsor, NSW"
F8412L5010U,"Cabramatta, NSW"
G7055C1989D,"Blacktown, NSW"
X4989Y5077T,"Rydalmere, NSW"
M5941N1856X,"Minchinbury, NSW"
Y7239W5535X,"Cardiff, NSW"
P9891X1396Q,"Granville, NSW"
A1300M8649X,"Chipping Norton, NSW"
I5561B2040T,"Leichhardt, NSW"
J3811T6707D,"Cardiff, NSW"
G7178Q9076I,"Blacktown, NSW"
H7810Z1238U,"Bankstown, NSW"
R5810S2965B,"Minchinbury, NSW"
S3584G8499X,"Elderslie, NSW"
N9650D4754I,"Smeaton Grange, NSW"
D2339Y8986Q,"Liverpool, NSW"
Y3717Y7326V,"Kurri Kurri, NSW"
W2608M7763X,"Liverpool, NSW"
H5108W1668S,"Bankstown, NSW"
G6302G1433B,"Taylors Beach, NSW"
R1891V6424X,"Minchinbury, NSW"
T5277O8499H,"Blacktown, NSW"
F6908G3613I,"Homebush, NSW"
Q6820V4759C,"Minchinbury, NSW"
H5433J1614K,"Lidcombe, NSW"
R6828L7433J,"Liverpool, NSW"
X3638L8462J,"Liverpool, NSW"
D6356C5357T,"Taylors Beach, NSW"
R3651I7613H,"Blacktown, NSW"
B2848C1660P,"Minchinbury, NSW"
J3248G8166W,"Rouse Hill, NSW"
R7314V8770B,"Caringbah, NSW"
S1839X9522D,"Taylors Beach, NSW"
R9712X6142S,"Blacktown, NSW"
D3100N1518C,"Arncliffe, NSW"
D1955L3354N,"Brookvale, NSW"
Y4033I9165Q,"Five Dock, NSW"
B5814G1193P,"Castle Hill, NSW"
V3481Q8850C,"Taree, NSW"
J6014N9460G,"Liverpool, NSW"
A5185D2099A,"Ingleburn, NSW"
W6653D7602Y,"Croydon, NSW"
Q9891U8808H,"Seven Hills, NSW"
Z7526D4058G,"Minchinbury, NSW"
T8441V9722Z,"North Narrabeen, NSW"
G1882W9538G,"Taree, NSW"
E7828F1356Z,"Granville, NSW"
B8913D2999L,"Five Dock, NSW"
V5103N5012K,"Port Macquarie, NSW"
I1007D9057L,"Minchinbury, NSW"
