engine_id,cylinders,engine_size,fuel_type,fuel_consumption,transmission_type
P5888J4637C,4 cyl,"4 cyl, 2 L",Unleaded,7.6 L / 100 km,Automatic
R2496R4833S,6 cyl,"6 cyl, 3.6 L",Premium,10 L / 100 km,Automatic
Y7035B5529D,4 cyl,"4 cyl, 1.8 L",Unleaded,7.6 L / 100 km,Automatic
P8124G4186B,4 cyl,"4 cyl, 2.5 L",Unleaded,7.4 L / 100 km,Automatic
I8347T8989P,4 cyl,"4 cyl, 2 L",Unleaded,8.5 L / 100 km,Manual
U6589P1353H,4 cyl,"4 cyl, 1.5 L",-,7.7 L / 100 km,Automatic
J3737P2134T,4 cyl,"4 cyl, 2 L",Unleaded,7.4 L / 100 km,Automatic
Y5981J1289E,-,-,Diesel,-,Automatic
N5809Y3949H,4 cyl,"4 cyl, 2 L",Diesel,6.8 L / 100 km,Automatic
I5391L3611G,4 cyl,"4 cyl, 2.5 L",Unleaded,7.4 L / 100 km,Automatic
D7623N5722Q,4 cyl,"4 cyl, 2.5 L",Unleaded,8.7 L / 100 km,Automatic
E4960P7425U,4 cyl,"4 cyl, 2.4 L",Unleaded,8.3 L / 100 km,Automatic
H4764N7212H,5 cyl,"5 cyl, 3.2 L",Diesel,8.2 L / 100 km,Automatic
F5215G2429R,4 cyl,"4 cyl, 2 L",Unleaded,7.4 L / 100 km,Automatic
Y3201I6815F,4 cyl,"4 cyl, 2.5 L",Unleaded,8.3 L / 100 km,Automatic
B4815J4050X,4 cyl,"4 cyl, 2.5 L",Premium,10.4 L / 100 km,Manual
M3908Y1209T,4 cyl,"4 cyl, 2.4 L",Unleaded,9.6 L / 100 km,Automatic
K8461I6102U,4 cyl,"4 cyl, 2 L",Unleaded,7.6 L / 100 km,Automatic
O9072Q6648J,4 cyl,"4 cyl, 2 L",Premium,8 L / 100 km,Automatic
L1205E8241W,4 cyl,"4 cyl, 2 L",Unleaded,7.1 L / 100 km,Automatic
S2367S4597Z,6 cyl,"6 cyl, 3.2 L",Unleaded,11.5 L / 100 km,Automatic
O4774N1771R,4 cyl,"4 cyl, 2 L",Unleaded,7.9 L / 100 km,Automatic
O2521M8163U,4 cyl,"4 cyl, 2.5 L",Diesel,8.9 L / 100 km,Manual
M8947C3305B,4 cyl,"4 cyl, 2 L",Unleaded,7.4 L / 100 km,Automatic
J6895E8644A,4 cyl,"4 cyl, 2.5 L",Diesel,9.8 L / 100 km,Manual
S1627Y2322B,-,-,Unleaded,-,Automatic
J1078O8185N,4 cyl,"4 cyl, 2 L",Premium,7.9 L / 100 km,Automatic
F1518V7083P,4 cyl,"4 cyl, 1.8 L",Unleaded,7.7 L / 100 km,Automatic
G9981X5147I,4 cyl,"4 cyl, 2 L",Diesel,5.3 L / 100 km,Automatic
U5624O4752G,4 cyl,"4 cyl, 2.7 L",Unleaded,11.6 L / 100 km,Automatic
N7756Y4084L,6 cyl,"6 cyl, 3.6 L",Unleaded,9.5 L / 100 km,Automatic
S7660N1151N,4 cyl,"4 cyl, 2 L",Diesel,7.2 L / 100 km,Automatic
Y5525H8917W,6 cyl,"6 cyl, 2.8 L",Diesel,0 L / 100 km,Manual
H6557X6807C,6 cyl,"6 cyl, 3.6 L",Unleaded,9.8 L / 100 km,Automatic
K8491E6118J,-,-,Premium,-,Automatic
Q3457B3513J,4 cyl,"4 cyl, 2 L",Unleaded,7.4 L / 100 km,Automatic
G3680I4937R,4 cyl,"4 cyl, 2 L",Unleaded,7.2 L / 100 km,Manual
X1585D5549H,4 cyl,"4 cyl, 2.8 L",Diesel,8.5 L / 100 km,Automatic
L6822T5362U,4 cyl,"4 cyl, 2.2 L",Diesel,7.3 L / 100 km,Automatic
Z1938Z4604T,4 cyl,"4 cyl, 2 L",Unleaded,7.2 L / 100 km,Automatic
G1258G4761S,4 cyl,"4 cyl, 2.2 L",Diesel,7.3 L / 100 km,Automatic
Z7678W8945U,6 cyl,"6 cyl, 4 L",Unleaded,9.9 L / 100 km,Automatic
Z8528V7899P,4 cyl,"4 cyl, 2.4 L",Unleaded,8.3 L / 100 km,Automatic
I2283G2931P,4 cyl,"4 cyl, 2 L",Unleaded,6.6 L / 100 km,Automatic
